num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,N_peak,alpha,prec_theta,prec_eta,tau_a,tau_b,tau_case,prec_a,prec_b,bucket_size,opt,prior_prec_tau,prior_prec_eta,n_samples,n_chains,n_iter,n_adapt,robustify,weight,trend_mean,trend_var,ncc,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,300,550,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,timemachine,0.0297,0.01005332287845099,0.006838779444891332,0,10000
4,250,0,300,675,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,fixmodel,0.027,0.0010887242168715497,0.007390191305346822,0,10000
4,250,0,300,675,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,MAPpriorNew,0.0372,0.017513241824301685,0.007260984945958185,0,10000
4,250,0,300,675,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,poolmodel,0.0911,0.048090862775666134,0.0080785381246977,0,10000
4,250,0,300,675,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,sepmodel,0.0266,0.0012999868711457729,0.008029310062181199,0,10000
4,250,0,300,675,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,timemachine,0.0343,0.013232647780350902,0.006985789338315014,0,10000
4,250,0,300,800,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,fixmodel,0.025,6.186921937504854e-5,0.007424305263033739,0,10000
4,250,0,300,800,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,MAPpriorNew,0.0321,0.015002313676555063,0.006995447107734495,0,10000
4,250,0,300,800,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,poolmodel,0.0814,0.04445545208013164,0.007555226163131139,0,10000
4,250,0,300,800,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,sepmodel,0.0259,-3.207794598633946e-5,0.00788461219892345,0,10000
4,250,0,300,800,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,timemachine,0.0315,0.012112481917679743,0.006786738260904825,0,10000
4,250,0,300,300,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,fixmodel,0.0222,-7.839435721384723e-5,0.006995377604777194,0,10000
4,250,0,300,300,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,MAPpriorNew,0.0302,0.013100547922436203,0.007952735886022032,0,10000
4,250,0,300,300,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,poolmodel,0.566,0.1636415092170279,0.03244696575961789,0,10000
4,250,0,300,300,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,sepmodel,0.022,-1.1332185745166767e-4,0.007719891421836092,0,10000
4,250,0,300,300,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,timemachine,0.0563,0.0402049386080788,0.008170827742106508,0,10000
4,250,0,300,425,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,fixmodel,0.0242,-1.3827711127795727e-4,0.0071817522062749915,0,10000
4,250,0,300,425,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,MAPpriorNew,0.0399,0.016568066282892622,0.008376103425870295,0,10000
4,250,0,300,425,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,poolmodel,0.6241,0.17489125545080675,0.03640450094991435,0,10000
4,250,0,300,425,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,sepmodel,0.0234,-5.232651785985133e-4,0.007968638010888445,0,10000
4,250,0,300,425,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,timemachine,0.0555,0.03782593452666004,0.008211268461847158,0,10000
4,250,0,300,550,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,fixmodel,0.025,9.615457330869428e-5,0.007110253697356893,0,10000
4,250,0,300,550,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,MAPpriorNew,0.0379,0.017261736079429296,0.008321284902580602,0,10000
4,250,0,300,550,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,poolmodel,0.6733,0.18602036373873768,0.04025082365114042,0,10000
4,250,0,300,550,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,sepmodel,0.0249,5.646520184565151e-4,0.007813961440054426,0,10000
4,250,0,300,550,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,timemachine,0.0578,0.04070891501769237,0.00834422410608236,0,10000
4,250,0,300,675,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,fixmodel,0.0233,-9.333985710229092e-5,0.007375672667703596,0,10000
4,250,0,300,675,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,MAPpriorNew,0.0411,0.01837257640216034,0.008649327010955042,0,10000
4,250,0,300,675,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,poolmodel,0.7354,0.19870262935879512,0.04531991887482307,0,10000
4,250,0,300,675,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,sepmodel,0.0256,6.466349102959411e-6,0.008048188287363887,0,10000
4,250,0,300,675,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,timemachine,0.0675,0.04765789544351962,0.00919883425540935,0,10000
4,250,0,300,800,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,fixmodel,0.0223,-0.0011528191302324555,0.007525034367014458,0,10000
4,250,0,300,800,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,MAPpriorNew,0.0364,0.015437168040788471,0.008543387951620622,0,10000
4,250,0,300,800,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,poolmodel,0.7942,0.21161564283093917,0.05044054966772116,0,10000
4,250,0,300,800,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,sepmodel,0.0221,-0.0010373704199470649,0.007939784285921098,0,10000
4,250,0,300,800,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,stepwise_2,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,timemachine,0.0933,0.06463047046490446,0.01107214665508841,0,10000
4,250,0,300,300,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,inv_u,767,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,fixmodel,0.0266,0.0010038960141656964,0.00721634012151781,0,10000
4,250,0,300,300,800,2,0,1,0,0,0,0,0.15,0.15,0.15,0.15,0.15,inv_u,767,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,4,MAPpriorNew,0.0226,-4.372769724124879e-5,0.006884021086900302,0,10000
