num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,trend,N_peak,alpha,prec_theta,prec_eta,tau_a,tau_b,tau_case,prec_a,prec_b,bucket_size,opt,prior_prec_tau,prior_prec_eta,n_samples,n_chains,n_iter,n_adapt,robustify,weight,trend_mean,trend_var,ncc,study_arm,model,reject_h0,bias,MSE,failed,nsim
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,fixmodel,0.854,0.005098698553936339,0.007056686519675521,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,MAPpriorNew,0.889,0.0013167933085743394,0.005676323246337855,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,poolmodel,0.944,-1.536807676985428e-4,0.004982158760967224,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,sepmodel,0.8,0.002842912136743866,0.00805526430938844,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,timemachine,0.909,0.003566183990004614,0.005789677210431585,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,fixmodel,0.879,0.006340162719650467,0.006565083719545984,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,MAPpriorNew,0.894,0.0031287549742662064,0.005378893013307172,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,poolmodel,0.958,0.00261444858258329,0.004588451086988499,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,sepmodel,0.806,0.0035526974950390367,0.007709790575117886,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,timemachine,0.912,0.004798552665609187,0.005328810857706399,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,fixmodel,0.853,0.0027430495182340967,0.006804870392158166,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,MAPpriorNew,0.899,0.0018457552818877197,0.005436393457822549,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,poolmodel,0.949,2.964504662752291e-4,0.004616612169351977,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,sepmodel,0.806,0.00279096023062512,0.0077945142315769675,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,timemachine,0.902,-0.0011836386614657612,0.005451921560499563,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,fixmodel,0.844,-0.0032862564769452706,0.006583810286707634,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,MAPpriorNew,0.889,-3.0165670423437933e-4,0.005135876324134835,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,poolmodel,0.952,-2.752771648861346e-4,0.004505485933450854,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,sepmodel,0.802,-1.472026236150187e-4,0.007151407878484677,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,timemachine,0.897,-0.0020269798713283137,0.005153320870015128,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,fixmodel,0.803,-0.00612150106367958,0.007670503639279511,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,0,0.5,TRUE,10,MAPpriorNew,0.863,-0.0013613582572040343,0.006157234769388893,0,1000
