num_arms,n_arm,d1,d2,d3,period_blocks,mu0,sigma,theta1,theta2,theta3,lambda0,lambda1,lambda2,lambda3,trend,N_peak,alpha,prec_theta,prec_eta,tau_a,tau_b,tau_case,prec_a,prec_b,bucket_size,opt,prior_prec_tau,prior_prec_eta,n_samples,n_chains,n_iter,n_adapt,robustify,weight,study_arm,model,reject_h0,bias,MSE,failed,nsim
3,250,0,0,0,2,0,1,0,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.025,2.0948467343202162e-4,0.008093283925108854,0,1000
3,250,0,125,250,2,0,1,0,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.027,0.0013192163752210983,0.007490713310894364,0,1000
3,250,0,250,500,2,0,1,0,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.027,-0.002539716097361569,0.0071645205323033504,0,1000
3,250,0,375,750,2,0,1,0,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.018,-0.006128773904941886,0.006330614352551385,0,1000
3,250,0,500,1000,2,0,1,0,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.02,-0.0012941599824813532,0.006255825539164047,0,1000
3,250,0,0,0,2,0,1,0,0,0,0,0,0,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.025,-0.0023098204117555435,0.008000828538718084,0,1000
3,250,0,125,250,2,0,1,0,0,0,0,0,0,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.045,0.007113577318631091,0.00782746741445925,0,1000
3,250,0,250,500,2,0,1,0,0,0,0,0,0,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.029,-0.0020861505220065514,0.007455252485498407,0,1000
3,250,0,375,750,2,0,1,0,0,0,0,0,0,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.027,9.630181569013209e-4,0.00687681372850549,0,1000
3,250,0,500,1000,2,0,1,0,0,0,0,0,0,0,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.021,0.0017607405855017719,0.006665531205281494,0,1000
3,250,0,0,0,2,0,1,0,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.028,0.006520863867759253,0.00870374499576881,0,1000
3,250,0,125,250,2,0,1,0,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.022,0.0023564359837267117,0.006670252192753276,0,1000
3,250,0,250,500,2,0,1,0,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.021,-7.761189928927522e-4,0.007090889085918339,0,1000
3,250,0,375,750,2,0,1,0,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.026,0.0033733582699369703,0.006641406230988567,0,1000
3,250,0,500,1000,2,0,1,0,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.022,-0.0019982184411427937,0.006673535052444201,0,1000
3,250,0,0,0,2,0,1,0,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.027,-0.002046244068498504,0.007920391518286775,0,1000
3,250,0,125,250,2,0,1,0,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.032,0.004145719258758703,0.007358275227432852,0,1000
3,250,0,250,500,2,0,1,0,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.024,-1.5010970957460033e-4,0.006961894557139944,0,1000
3,250,0,375,750,2,0,1,0,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.028,0.005083543958165723,0.006741985309340616,0,1000
3,250,0,500,1000,2,0,1,0,0,0,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.021,0.005920102229614351,0.006469056737306938,0,1000
3,250,0,0,0,2,0,1,0,0,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.027,-0.003654149555788614,0.00781808206053078,0,1000
3,250,0,125,250,2,0,1,0,0,0,0.11250000000000002,0.11250000000000002,0.11250000000000002,0.11250000000000002,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,timemachine,0.02,-8.104541125949126e-4,0.007440075498940649,0,1000
