num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,trend,N_peak,trend_mean,trend_var,alpha,prec_theta,prec_eta,tau_a,tau_b,tau_case,prec_a,prec_b,bucket_size,opt,prior_prec_tau,prior_prec_eta,n_samples,n_chains,n_iter,n_adapt,robustify,weight,ncc,study_arm,model,reject_h0,bias,MSE,failed,nsim
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.075,random,random,random,random,random,random,random,random,random,-0.075,linear,NA,-0.075,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,sepmodel,0.036,6.208348299878926e-5,0.008291629334374351,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.075,random,random,random,random,random,random,random,random,random,-0.075,linear,NA,-0.075,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,timemachine,0.013,-0.013378931759856886,0.0062063771679943015,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.037500000000000006,random,random,random,random,random,random,random,random,random,-0.037500000000000006,linear,NA,-0.037500000000000006,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,fixmodel,0.022,9.01831611297795e-4,0.006905668810325154,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.037500000000000006,random,random,random,random,random,random,random,random,random,-0.037500000000000006,linear,NA,-0.037500000000000006,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,MAPpriorNew,0.007,-0.007937365827422816,0.0052013606010380955,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.037500000000000006,random,random,random,random,random,random,random,random,random,-0.037500000000000006,linear,NA,-0.037500000000000006,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,poolmodel,0.006,-0.015927815838341058,0.004718636468632565,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.037500000000000006,random,random,random,random,random,random,random,random,random,-0.037500000000000006,linear,NA,-0.037500000000000006,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,sepmodel,0.022,5.788391633245132e-4,0.007380289353519616,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.037500000000000006,random,random,random,random,random,random,random,random,random,-0.037500000000000006,linear,NA,-0.037500000000000006,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,timemachine,0.005,-0.006151362894738349,0.005375415434520166,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,0,random,random,random,random,random,random,random,random,random,0,linear,NA,0,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,fixmodel,0.033,9.479412041183703e-4,0.007763240713658028,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,0,random,random,random,random,random,random,random,random,random,0,linear,NA,0,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,MAPpriorNew,0.021,0.0015281717840191836,0.005784241377252094,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,0,random,random,random,random,random,random,random,random,random,0,linear,NA,0,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,poolmodel,0.023,7.975630888989107e-4,0.004868139378577297,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,0,random,random,random,random,random,random,random,random,random,0,linear,NA,0,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,sepmodel,0.026,0.0018057830179010667,0.008187815191790581,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,0,random,random,random,random,random,random,random,random,random,0,linear,NA,0,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,timemachine,0.025,0.0010912063387907688,0.005967542363834973,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,0.037500000000000006,random,random,random,random,random,random,random,random,random,0.037500000000000006,linear,NA,0.037500000000000006,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,fixmodel,0.032,4.3585933256130887e-4,0.0070403924001350635,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,0.037500000000000006,random,random,random,random,random,random,random,random,random,0.037500000000000006,linear,NA,0.037500000000000006,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,MAPpriorNew,0.029,0.009604265736242772,0.005416826853554446,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,0.037500000000000006,random,random,random,random,random,random,random,random,random,0.037500000000000006,linear,NA,0.037500000000000006,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,poolmodel,0.041,0.019095394547246704,0.0048622390581791125,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,0.037500000000000006,random,random,random,random,random,random,random,random,random,0.037500000000000006,linear,NA,0.037500000000000006,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,sepmodel,0.027,-3.7485043471137446e-4,0.007762111660170692,0,1000
10,250,0,300,600,900,1200,1500,1800,2100,2400,2700,2,0,1,0,0,0,0,0,0,0,0,0,0,0.037500000000000006,random,random,random,random,random,random,random,random,random,0.037500000000000006,linear,NA,0.037500000000000006,0.5,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,10,timemachine,0.025,0.011137068648732604,0.00560384257426612,0,1000
