num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,N_peak,alpha,prec_theta,prec_eta,tau_a,tau_b,tau_case,prec_a,prec_b,bucket_size,opt,prior_prec_tau,prior_prec_eta,n_samples,n_chains,n_iter,n_adapt,robustify,weight,ncc,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,300,550,800,2,0,1,0.25,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,timemachine,0.841,-0.005901836100115912,0.006846765475149543,0,1000
4,250,0,300,675,800,2,0,1,0.25,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,fixmodel,0.818,-0.0034386503597569826,0.007310024326049582,0,1000
4,250,0,300,675,800,2,0,1,0.25,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,MAPpriorNew,0.784,-0.019440875383356343,0.007262155680408164,0,1000
4,250,0,300,675,800,2,0,1,0.25,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,poolmodel,0.754,-0.049895021371669075,0.00812981404926849,0,1000
4,250,0,300,675,800,2,0,1,0.25,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,sepmodel,0.783,-0.0030852044062957534,0.007896940025769255,0,1000
4,250,0,300,675,800,2,0,1,0.25,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,timemachine,0.822,-0.01206596256559837,0.006826581234324443,0,1000
4,250,0,300,800,800,2,0,1,0.25,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,fixmodel,0.809,-0.002000016121825479,0.007690624999132307,0,1000
4,250,0,300,800,800,2,0,1,0.25,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,MAPpriorNew,0.786,-0.017696414074945235,0.007489623420909356,0,1000
4,250,0,300,800,800,2,0,1,0.25,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,poolmodel,0.752,-0.04758905009740326,0.008254248631051543,0,1000
4,250,0,300,800,800,2,0,1,0.25,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,sepmodel,0.785,-0.0022965590402896975,0.008238743812740094,0,1000
4,250,0,300,800,800,2,0,1,0.25,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,-0.15,linear,NA,0.025,0.001,0.001,1.0991208017965741,1.0991208017965742e-4,reasonable,0.001,0.001,25,2,0.002,1,1000,4,4000,1000,TRUE,0.1,TRUE,4,timemachine,0.809,-0.013106195592778038,0.00699066195747815,0,1000
